MAAMOV,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port,EVERTZ - Template,EVERTZ - DMG1,EVERTZ - DMG2,EVERTZ - Encoder,EVERTZ - IRD1,EVERTZ - IRD2,EVERTZ - Launch Status,EVERTZ  Note-1,EVERTZ  Note-2,EVERTZ - Source Description,Daily Summery Include,Sling Call DUPLICATE,Multicast DUPLICATE
BEIN7,BEIN7,BEIN7,232.70.15.7,1234,172.31.27.23,172.31.28.23,BUNDLE,Eurovision SRT,Yes,Sentry 2,,,Port 147,Port 1147,Outside,,,,,,Customer,beIN Sports Connect 7,,Building 2,SKIP,ok,ok
WTHRNHD,WTHRNHD,WTHRNHD,232.168.50.128,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 148,Port 1148,IRD,DMG1,DMG2,,IRD1,IRD2,Beta,Weather Nation,Gilbert IRD - 601,Gilbert IRD,YES,ok,ok
ZLVINGH,ZLVINGH,ZLVINGH,232.23.41.121,3101,172.31.1.21,172.31.2.21,BUNDLE,VYVX,Yes,Sentry 2,,,Port 149,Port 1149,Outside,,,,,,Customer,Z Living HD,,Building 2,YES,ok,ok
TENIS,TENIS,TENIS,232.168.50.157,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 150,Port 1150,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Tennis Channel,Gilbert IRD - 604,Gilbert IRD,YES,ok,ok
IQRAA,IQRAA,IQRAA,232.20.214.4,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 2,,,Port 151,Port 1151,Encoder,DMG1,DMG2,ENCODER,,,Beta,ART IQRAA TV,,Cheyenne Service,YES,ok,ok
TVBV,TVBV,TVBV,232.20.97.100,3101,172.31.1.21,172.31.2.21,BUNDLE,VYVX,Yes,Sentry 2,,,Port 152,Port 1152,Encoder,DMG1,DMG2,ENCODER,,,Customer,TVBV,,Cheyenne Service,YES,ok,ok
ZCINEMA,ZCINEMA,ZCINEMA,232.20.94.142,3101,172.31.1.21,172.31.2.21,BUNDLE,BT Tower,Yes,Sentry 2,,,Port 153,Port 1153,Encoder,DMG1,DMG2,ENCODER,,,Customer,Zee Cinemalu,,Cheyenne Service,YES,ok,ok
ZNEWS,ZNEWS,ZNEWS,232.20.97.84,3101,172.31.1.21,172.31.2.21,BUNDLE,BT Tower,Yes,Sentry 2,,,Port 154,Port 1154,Encoder,DMG1,DMG2,ENCODER,,,Customer,Zee News,,Cheyenne Service,YES,ok,ok
CSNDC,CSNDC,CSNDC,232.70.2.117,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 2,,,Port 155,Port 1155,Outside,,,,,,Customer,CSN Washington DC,,Building 2,YES,ok,ok
ESPNHD,ESPN,ESPNHD,232.70.2.11,1234,172.31.27.21,172.31.28.21,BUNDLE,ESPN,Yes,Sentry 2,,,Port 156,Port 1156,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
JIG,JIC,JIG,232.33.7.1,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 0,Port 1000,Encoder,DMG1,DMG2,ENCODER,,,Customer,Jiangsu International Channel (Chinese/Mandarin) (JIC),,Gilbert Service,YES,ok,ok
JISRTV,NA,JISRTV,232.70.5.15,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 1,Port 1001,Outside,,,,,,Customer,JISR TV,,Building 2,YES,ok,ok
JK,NA,JK,232.70.5.41,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 2,Port 1002,Outside,,,,,,Customer,JK Channel,,Building 2,YES,ok,ok
JMAX,JMAX,JMAX,232.20.97.53,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 3,Port 1003,Encoder,DMG1,DMG2,ENCODER,,,Customer,Jaya Max (Tamil),,Cheyenne Service,YES,ok,ok
JMOV,JMOV,JMOV,232.20.118.11,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 4,Port 1004,Encoder,DMG1,DMG2,ENCODER,,,Customer,Jaya Movies (Tamil),,Cheyenne Service,YES,ok,ok
JORDAN,NA,JORDAN,232.23.13.29,3101,172.31.1.24,172.31.2.24,BUNDLE,NEXTOLOGIES,Yes,Sentry 3,,,Port 5,Port 1005,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,JORDAN TV,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
JUS1,JUS1,JUS1,232.70.5.147,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 6,Port 1006,Outside,,,,,,Customer,JUS ONE,,Building 2,YES,ok,ok
JUSCO,JUSCO,JUSCO,232.70.5.148,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 7,Port 1007,Outside,,,,,,Customer,JUS 24X7 COMEDY,,Building 2,YES,ok,ok
JUSPUNJ,JUS,JUSPUNJ,232.20.5.129,3101,172.31.1.24,172.31.2.24,BUNDLE,TATA,Yes,Sentry 3,,,Port 8,Port 1008,Outside,,,,,,Customer,JUS PUNJABI,,Building 2,YES,ok,ok
KABEDT,KABE,KABEDT,232.30.12.31,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 3,,,Port 9,Port 1009,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision - KABE,,LRF Encoder,YES,ok,ok
KAIRALI,KAIRA,KAIRALI,232.20.98.135,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 10,Port 1010,Encoder,DMG1,DMG2,ENCODER,,,Customer,KAIRALI TV,,Cheyenne Service,YES,ok,ok
KAIRWE,NA,KAIRWE,232.70.1.12,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 3,,,Port 11,Port 1011,Outside,,,,,,Customer,KARAIL WE TV,,Building 2,YES,ok,ok
KAJB,KAJB,KAJB,232.30.214.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 12,Port 1012,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Yuma,,LRF Encoder,YES,ok,ok
KAKW,KAKW,KAKW,232.31.11.7,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 13,Port 1013,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Austin,,LRF Encoder,YES,ok,ok
KATHYANI,NA,KATHYANI,232.70.5.59,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 14,Port 1014,Outside,,,,,,Customer,Kathyani TV,,Building 2,YES,ok,ok
KBNT,KBNT,KBNT,232.31.171.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 15,Port 1015,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision - KBNT,,LRF Encoder,YES,ok,ok
KCEC,KCEC,KCEC,232.30.53.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 16,Port 1016,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Denver,,LRF Encoder,YES,ok,ok
KDCU,KDCU,KDCU,232.31.208.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 17,Port 1017,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Wichita,,LRF Encoder,YES,ok,ok
KDFWDT,KDFW,KDFWDT,232.31.50.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 18,Port 1018,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KDFW,,LRF Encoder,YES,ok,ok
KDTF,KDTF,KDTF,232.31.171.6,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 19,Port 1019,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas San Diego,,LRF Encoder,YES,ok,ok
KDTV,KDTV,KDTV,232.31.172.13,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 20,Port 1020,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision San Francisco,,LRF Encoder,YES,ok,ok
KFPH,KFPH,KFPH,232.31.151.10,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 21,Port 1021,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Phoenix,,LRF Encoder,YES,ok,ok
KFSF,KFSF,KFSF,232.31.172.12,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 22,Port 1022,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas San Francisco,,LRF Encoder,YES,ok,ok
KFTH,KFTH,KFTH,232.31.90.22,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 23,Port 1023,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Houston,,LRF Encoder,YES,ok,ok
KFTR,KFTR,KFTR,232.31.114.13,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 24,Port 1024,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Los Angeles,,LRF Encoder,YES,ok,ok
KFTV,KFTV,KFTV,232.31.71.5,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 25,Port 1025,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Fresno,,LRF Encoder,YES,ok,ok
KHBRTV,NA,KHBRTV,232.70.5.60,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 26,Port 1026,Outside,,,,,,Customer,Hindi Khabar,,Building 2,YES,ok,ok
KINC,KINC,KINC,232.31.109.15,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 27,Port 1027,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Las Vegas,,LRF Encoder,YES,ok,ok
KINOPOL,KINO!,KINOPOL,232.70.5.28,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 28,Port 1028,Outside,,,,,,Customer,Kino Polska International,,Building 2,YES,ok,ok
KINT,KINT,KINT,232.31.58.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 29,Port 1029,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision El Paso,,LRF Encoder,YES,ok,ok
KIRAN,KIRAN,KIRAN,232.20.97.177,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 30,Port 1030,Encoder,DMG1,DMG2,ENCODER,,,Customer,Surya Movies (Malayalam) ,,Cheyenne Service,YES,ok,ok
KLDO,KLDO,KLDO,232.31.108.5,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 31,Port 1031,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Laredo,,LRF Encoder,YES,ok,ok
KLGNRTV,KLAIG,KLGNRTV,232.20.96.65,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 32,Port 1032,Encoder,DMG1,DMG2,ENCODER,,,Customer,Kalaignar TV (Tamil),,Cheyenne Service,YES,ok,ok
KLUZ,KLUZ,KLUZ,232.31.4.13,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 33,Port 1033,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Albuquerque,,LRF Encoder,YES,ok,ok
KMEX,KMEX,KMEX,232.31.114.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 34,Port 1034,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Los Angeles,,LRF Encoder,YES,ok,ok
KMSPDT,KMSP,KMSPDT,232.31.127.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 35,Port 1035,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KMSP,,LRF Encoder,YES,ok,ok
KNBCDT,KNBC,KNBCDT,232.70.2.159,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 3,,,Port 36,Port 1036,Outside,,,,,,Customer,NBC-KNBC,,Building 2,YES,ok,ok
KNIC,KNIC,KNIC,232.31.170.10,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 37,Port 1037,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas San Antonio,,LRF Encoder,YES,ok,ok
KNSDDT,KNSD,KNSDDT,232.70.2.158,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 3,,,Port 38,Port 1038,Outside,,,,,,Customer,NBC-KNSD,,Building 2,YES,ok,ok
KNTVDT,KNTV,KNTVDT,232.70.2.160,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 3,,,Port 39,Port 1039,Outside,,,,,,Customer,NBC-KNTV,,LRF Encoder,YES,ok,ok
KNVO,KNVO,KNVO,232.31.83.10,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 40,Port 1040,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Harlingen,,LRF Encoder,YES,ok,ok
KORO,KORO,KORO,232.31.49.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 41,Port 1041,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Corpus Christi,,LRF Encoder,YES,ok,ok
KPMR,KPMR,KPMR,232.31.175.6,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 42,Port 1042,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Santa Barbra,,LRF Encoder,YES,ok,ok
KREN,KREN,KREN,232.31.160.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 43,Port 1043,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Reno,,LRF Encoder,YES,ok,ok
KRIVDT,KRIV,KRIVDT,232.31.90.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 44,Port 1044,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KRIV,,LRF Encoder,YES,ok,ok
KSAZDT,KSAZ,KSAZDT,232.31.151.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 45,Port 1045,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KSAZ,,LRF Encoder,YES,ok,ok
KSMSDT,KSMS,KSMSDT,232.31.132.6,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 46,Port 1046,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Monterey,,LRF Encoder,YES,ok,ok
KSTR,KSTR,KSTR,232.31.50.15,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 47,Port 1047,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Dallas,,LRF Encoder,YES,ok,ok
KSTU,KSTU,KSTU,232.31.168.4,3101,172.31.1.24,172.31.2.24,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 48,Port 1048,LRF,DMG1,DMG2,ENCODER,,,Beta,KSTU FOX Salt Lake City,,LRF Encoder,YES,ok,ok
KTBCDT,KTBC,KTBCDT,232.31.11.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 49,Port 1049,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KTBC,,LRF Encoder,YES,ok,ok
BEIN3,BEIN3,BEIN3,232.70.15.3,1234,172.31.27.23,172.31.28.23,BUNDLE,Eurovision SRT,Yes,Sentry 3,,,Port 50,Port 1050,Outside,,,,,,Customer,Bein3,,Building 2,SKIP,ok,ok
KTFF,KTFF,KTFF,232.31.71.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 51,Port 1051,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Fresno,,LRF Encoder,YES,ok,ok
KTFK,KTFK,KTFK,232.31.166.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 52,Port 1052,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Sacramento,,LRF Encoder,YES,ok,ok
KTFN,KTFN,KTFN,232.31.58.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 53,Port 1053,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas El Paso,,LRF Encoder,YES,ok,ok
KTFQ,KTFQ,KTFQ,232.31.4.12,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 54,Port 1054,LRF,DMG1,DMG2,ENCODER,,,Customer,UniMas Albuquerque,,LRF Encoder,YES,ok,ok
KTFVDT,KTFVDT,KTFVDT,232.31.83.6,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 55,Port 1055,LRF,DMG1,DMG2,ENCODER,,,Customer,KTFVDT,,LRF Encoder,YES,ok,ok
KTTVDT,KTTV,KTTVDT,232.31.114.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 56,Port 1056,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KTTV,,LRF Encoder,YES,ok,ok
KTV1,KTV,KTV1,232.20.97.119,3101,172.31.1.21,172.31.2.21,BUNDLE,Che BT Tower,Yes,Sentry 3,,,Port 57,Port 1057,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
KTVUDT,KTVU,KTVUDT,232.31.172.4,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 58,Port 1058,LRF,DMG1,DMG2,ENCODER,,,Customer,FOX-KTVU,,LRF Encoder,YES,ok,ok
KTVW,KTVW,KTVW,232.31.151.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 59,Port 1059,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Phoenix,,LRF Encoder,YES,ok,ok
KUNPDT,KUNPDT,KUNPDT,232.31.154.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 60,Port 1060,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision- KUNP,,LRF Encoder,YES,ok,ok
KUNS,KUNS,KUNS,232.31.177.13,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 61,Port 1061,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Seattle,,LRF Encoder,YES,ok,ok
KUNW,KUNW,KUNW,232.30.212.1,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 62,Port 1062,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Yakima,,LRF Encoder,YES,ok,ok
KUOK,KUOK,KUOK,232.31.141.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 63,Port 1063,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Oklahoma City,,LRF Encoder,YES,ok,ok
KUPB,KUPB,KUPB,232.31.140.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 64,Port 1064,LRF,DMG1,DMG2,ENCODER,,,Customer,Univision Odessa,,LRF Encoder,YES,ok,ok
KUTH,KUTH,KUTH,232.31.168.10,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 65,Port 1065,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KUVE,KUVE,KUVE,232.31.196.10,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 66,Port 1066,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KUVN,KUVN,KUVN,232.31.50.16,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 67,Port 1067,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KUVS,KUVS,KUVS,232.31.166.7,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 68,Port 1068,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KVER,KVER,KVER,232.31.146.8,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 69,Port 1069,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KVSN,KVSN,KVSN,232.31.43.5,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 70,Port 1070,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KVYE,KVYE,KVYE,232.30.214.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 71,Port 1071,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KWEX,KWEX,KWEX,232.31.170.9,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 72,Port 1072,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
KXASDT,KXAS,KXASDT,232.70.2.156,1234,172.31.27.22,172.31.28.22,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 73,Port 1073,Outside,,,,,,Customer,,,LRF Encoder,YES,ok,ok
KXLN,KXLN,KXLN,232.31.90.21,3101,172.31.1.23,172.31.2.23,BUNDLE,LOCALS,Yes,Sentry 3,,,Port 74,Port 1074,LRF,DMG1,DMG2,ENCODER,,,Customer,,,LRF Encoder,YES,ok,ok
LA7ITL,LA7TE,LA7ITL,232.20.97.148,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 75,Port 1075,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
LBC,LBCS,LBC,232.23.13.37,3101,172.31.1.24,172.31.2.24,BUNDLE,NEXTOLOGIES,Yes,Sentry 3,,,Port 76,Port 1076,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
LDC,LDC,LDC,232.20.214.60,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 3,,,Port 77,Port 1077,Encoder,DMG1,DMG2,ENCODER,,,Customer,LDC America,,Cheyenne Service,YES,ok,ok
LFOODZ,LVNGF,LFOODZ,232.20.97.85,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 78,Port 1078,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
LGSTV,NA,LGSTV,232.168.50.89,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 79,Port 1079,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  584,Gilbert IRD,YES,ok,ok
LIFEHD,LIFE,LIFEHD,232.70.3.5,1234,172.31.27.21,172.31.28.21,BUNDLE,AandE,Yes,Sentry 3,,,Port 80,Port 1080,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
LMN,LMN,LMN,232.70.3.6,1234,172.31.27.21,172.31.28.21,BUNDLE,AandE,Yes,Sentry 3,,,Port 81,Port 1081,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
LOGO,LOGO,LOGO,232.168.50.102,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 82,Port 1082,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  593,Gilbert IRD,YES,ok,ok
OLD_LOK,OLD_LIFOK,OLD_LOK,232.20.98.165,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,No,Sentry 3,,,Port 83,Port 1083,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,SKIP,ok,ok
NBATOR,NA,NBATOR,232.23.36.88,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 84,Port 1084,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 88,Gilbert Service,YES,ok,ok
M24TV,M24TV,M24TV,232.70.1.68,1234,172.31.27.71,172.31.28.71,BUNDLE,NOBUNDLE,Yes,Sentry 3,,,Port 85,Port 1085,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
OLD_MAAMOV,OLD_MAAMO,OLD_MAAMOV,232.20.118.12,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,No,Sentry 3,,,Port 86,Port 1086,Encoder,DMG1,DMG2,ENCODER,,,Beta,,,Gilbert Service,SKIP,ok,ok
OLD_MAATV,OLD_MAATV,OLD_MAATV,232.20.98.146,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,No,Sentry 3,,,Port 87,Port 1087,Encoder,DMG1,DMG2,ENCODER,,,Beta,,,Gilbert Service,SKIP,ok,ok
MCLASSIC,MCLASSIC,MCLASSIC,232.20.214.49,3101,172.31.1.24,172.31.2.24,Cheyenne,Che NEXTOLOGIES,Yes,Sentry 3,,,Port 88,Port 1088,IRD,DMG1,DMG2,,MUX 1,MUX 2,Customer,,NEXTOLOGIES DELIVERY: Fiber Source From Cheyenne FEEDS COMPRESSION DMGS,Cheyenne MUX,YES,ok,ok
MAFLAM,MLDYA,MAFLAM,232.20.214.50,3101,172.31.1.24,172.31.2.24,Cheyenne,Che NEXTOLOGIES,Yes,Sentry 3,,,Port 89,Port 1089,IRD,DMG1,DMG2,,MUX 1,MUX 2,Customer,,NEXTOLOGIES DELIVERY: Fiber Source From Cheyenne FEEDS COMPRESSION DMGS,Cheyenne MUX,YES,ok,ok
OLD_MAGOLD,OLD_MAAG,OLD_MAGOLD,232.20.118.14,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,No,Sentry 3,,,Port 90,Port 1090,Encoder,DMG1,DMG2,ENCODER,,,Beta,,,Gilbert Service,SKIP,ok,ok
OLD_MAMUSIC,OLD_MAAMU,OLD_MAMUSIC,232.20.118.13,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,No,Sentry 3,,,Port 91,Port 1091,Encoder,DMG1,DMG2,ENCODER,,,Beta,,,Gilbert Service,SKIP,ok,ok
MAXHD,MAXHD,MAXHD,232.168.50.16,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 92,Port 1092,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,MAXHD,GIL IRD -  562,Gilbert IRD,YES,ok,ok
