MAAMOV,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port,EVERTZ - Template,EVERTZ - DMG1,EVERTZ - DMG2,EVERTZ - Encoder,EVERTZ - IRD1,EVERTZ - IRD2,EVERTZ - Launch Status,EVERTZ  Note-1,EVERTZ  Note-2,EVERTZ - Source Description,Daily Summery Include,Sling Call DUPLICATE,Multicast DUPLICATE
ETNEW,ETNEW,ETNEW,232.20.97.87,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 10,Port 1010,Encoder,DMG1,DMG2,ENCODER,,,Customer,ETTV News (Taiwanese),,Cheyenne Service,YES,ok,ok
ETVABR,NA,ETVABR,232.70.6.131,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 11,Port 1011,Outside,,,,,,Customer,ETV Abhiruchi,,Building 2,YES,ok,ok
ETVAP,NA,ETVAP,232.70.6.125,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 12,Port 1012,Outside,,,,,,Customer,ETV Andhra Pradesh,,Building 2,YES,ok,ok
CCTVE,CCTVE,CCTVE,232.20.97.181,3101,172.31.1.21,172.31.2.21,BUNDLE,Tiger Tech,Yes,Sentry 2,,,Port 13,Port 1013,Encoder,DMG1,DMG2,ENCODER,,,Customer,CCTV-E,,Building 2,YES,ok,ok
ETVBIJH,NA,ETVBIJH,232.70.6.126,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 14,Port 1014,Outside,,,,,,Customer,News18 Bihar Jharkhand,,Building 2,YES,ok,ok
ETVCINE,NA,ETVCINE,232.70.6.132,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 15,Port 1015,Outside,,,,,,Customer,ETV Cinema,,Building 2,YES,ok,ok
ETVKN,CLRSK,ETVKN,232.20.94.150,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 16,Port 1016,Encoder,DMG1,DMG2,ENCODER,,,Customer,Colors Kannada (Hindi),,Cheyenne Service,YES,ok,ok
ETVLIFE,NA,ETVLIFE,232.70.6.134,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 17,Port 1017,Outside,,,,,,Customer,ETV Life,,Building 2,YES,ok,ok
ETVMA,CLRSM,ETVMA,232.20.94.143,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 18,Port 1018,Encoder,DMG1,DMG2,ENCODER,,,Customer,Colors Marathi (Marathi),,Cheyenne Service,YES,ok,ok
ETVNEWBG,NA,ETVNEWBG,232.70.6.121,1234,172.31.27.22,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 19,Port 1019,Outside,,,,,,Customer,News18 Bangla,,Building 2,YES,ok,ok
ETVNGUJ,NA,ETVNGUJ,232.70.6.141,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 20,Port 1020,Outside,,,,,,Customer,News18 Gujarati,,Building 2,YES,ok,ok
ETVNHH,NA,ETVNHH,232.70.6.123,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 21,Port 1021,Outside,,,,,,Customer,News18 Punjab,,Building 2,YES,ok,ok
ETVNWKAN,NA,ETVNWKAN,232.70.6.122,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 22,Port 1022,Outside,,,,,,Customer,News18 Kannada,,Building 2,YES,ok,ok
ETVPLUS,NA,ETVPLUS,232.70.6.133,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 23,Port 1023,Outside,,,,,,Customer,ETV Plus,,Building 2,YES,ok,ok
ETVRAJ,NA,ETVRAJ,232.70.6.128,1234,172.31.27.22,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 24,Port 1024,Outside,,,,,,Customer,News18 Rajasthan,,Building 2,YES,ok,ok
ETVTELAN,NA,ETVTELAN,232.70.6.129,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 25,Port 1025,Outside,,,,,,Customer,ETV Telanghana,,Building 2,YES,ok,ok
ETVUP,NA,ETVUP,232.70.6.130,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 26,Port 1026,Outside,,,,,,Customer,News18 UP Uttakhrand,,Building 2,YES,ok,ok
ETVURDU,NA,ETVURDU,232.70.6.124,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 27,Port 1027,Outside,,,,,,Customer,News18 Urdu,,Building 2,YES,ok,ok
EURCHD,EURCH,EURCHD,232.70.8.1,1234,172.31.27.121,172.31.28.121,BUNDLE,EUROCHANNEL,Yes,Sentry 2,,,Port 28,Port 1028,Outside,,,,,,Customer,Eurochannel HD,,Building 2,YES,ok,ok
EURONEW,EURNS,EURONEW,232.20.96.37,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 29,Port 1029,Encoder,DMG1,DMG2,ENCODER,,,Customer,Euro News (English),,Cheyenne Service,YES,ok,ok
EVTV,NA,EVTV,232.70.5.34,1234,172.31.27.23,172.31.28.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 30,Port 1030,Outside,,,,,,Beta,Sudamerica Service,,Building 2,YES,ok,ok
EXPEN,EXPEN,EXPEN,232.20.214.33,3101,172.31.1.21,172.31.2.21,BUNDLE,Che MX1,Yes,Sentry 2,,,Port 31,Port 1031,Encoder,DMG1,DMG2,ENCODER,,,Customer,Express Entertainment,,Cheyenne Service,YES,ok,ok
EXPNW,EXPNW,EXPNW,232.20.214.32,3101,172.31.1.21,172.31.2.21,BUNDLE,Che MX1,Yes,Sentry 2,,,Port 32,Port 1032,Encoder,DMG1,DMG2,ENCODER,,,Customer,Express News,,Cheyenne Service,YES,ok,ok
F24EN,F24EN,F24EN,232.20.97.184,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 33,Port 1033,Encoder,DMG1,DMG2,ENCODER,,,Customer,France 24 (English),,Cheyenne Service,YES,ok,ok
FILMD,NA,FILMD,232.70.5.149,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 34,Port 1034,Outside,,,,,,Customer,THE FILM DETECTIVE,,Building 2,YES,ok,ok
FOODHD,FOOD,FOODHD,232.168.50.1,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 35,Port 1035,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Food Network HD,GIL IRD -  541,Gilbert IRD,YES,ok,ok
FOXAZ01,FOXAZ01,FOXAZ01,232.23.34.1,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 36,Port 1036,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Arizona (Plus 1),Gilbert Master Control Service: Sling 1,Gilbert Service,YES,ok,ok
FOXAZ02,FOXAZ02,FOXAZ02,232.23.34.2,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 37,Port 1037,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Arizona (Plus 2),Gilbert Master Control Service: Sling 2,Gilbert Service,YES,ok,ok
OLD_FOXCN03,OLD_FOXCN03,OLD_FOXCN03,232.23.34.3,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,No,Sentry 2,,,Port 38,Port 1038,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling OPEN 3,Gilbert Service,SKIP,ok,ok
FOXDT04,FOXDT04,FOXDT04,232.23.34.4,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 39,Port 1039,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Detroit (Plus 1),Gilbert Master Control Service: Sling 4,Gilbert Service,YES,ok,ok
OLD_FOXDT05,OLD_FOXDT05,OLD_FOXDT05,232.23.34.5,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,No,Sentry 2,,,Port 40,Port 1040,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling OPEN 5,Gilbert Service,SKIP,ok,ok
FOXFL06,FOXFL06,FOXFL06,232.23.34.6,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 41,Port 1041,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Florida (Plus 1),Gilbert Master Control Service: Sling 6,Gilbert Service,YES,ok,ok
FOXFL07,FOXFL07,FOXFL07,232.23.34.7,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 42,Port 1042,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Florida (Plus 2),Gilbert Master Control Service: Sling 7,Gilbert Service,YES,ok,ok
FOXMW08,FOXMW08,FOXMW08,232.23.34.8,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 43,Port 1043,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Midwest (Plus 1),Gilbert Master Control Service: Sling 8,Gilbert Service,YES,ok,ok
FOXMW09,FOXMW09,FOXMW09,232.23.34.9,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 44,Port 1044,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Midwest (Plus 2),Gilbert Master Control Service: Sling 9,Gilbert Service,YES,ok,ok
FOXMW10,FOXMW10,FOXMW10,232.23.34.10,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 45,Port 1045,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Midwest (Plus 3),Gilbert Master Control Service: Sling 10,Gilbert Service,YES,ok,ok
FOXMW11,FOXMW11,FOXMW11,232.23.34.11,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 46,Port 1046,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Midwest (Plus 4),Gilbert Master Control Service: Sling 11,Gilbert Service,YES,ok,ok
OLD_FOXMW12,OLD_FOXMW12,OLD_FOXMW12,232.23.34.12,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,No,Sentry 2,,,Port 47,Port 1047,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling OPEN 12,Gilbert Service,SKIP,ok,ok
