MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
CUBAMAX,CUBAM,CUBAMAX,232.23.36.50,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,,Port 152,Port 1152
CYRTV,CYRTV,CYRTV,232.33.7.7,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 1,0,,Port 153,Port 1153
OLD_DEPELC,OLD_PCLAS,OLD_DEPELC,232.23.37.191,3101,172.31.1.22,172.31.2.22,DBS,No,Sentry 1,0,,Port 154,Port 1154
OLD_DEPELUS,OLD_PELIC,OLD_DEPELUS,232.23.36.86,3101,172.31.1.22,172.31.2.22,DBS,No,Sentry 1,0,,Port 155,Port 1155
DISCOPL,DISCOPL,DISCOPL,232.70.1.13,3101,172.31.28.71,172.31.27.71,MX1,Yes,Sentry 1,0,,Port 156,Port 1156
DIYHD,DIY,DIYHD,232.168.50.4,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 1,0,,Port 157,Port 1157
DMC,DMC,DMC,232.20.214.58,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 1,0,,Port 158,Port 1158
DMCD,DMCD,DMCD,232.70.1.85,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 1,0,,Port 159,Port 1159
DOMV,DOMV,DOMV,232.168.50.118,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 160,Port 1160
DRAGN,DRAGN,DRAGN,232.33.7.9,3101,172.31.1.21,172.31.2.21,Tiger Tech,Yes,Sentry 1,0,,Port 161,Port 1161
DREAM2,DREAM,DREAM2,232.20.214.65,3101,172.31.1.24,172.31.2.24,Che NEXTOLOGIES,Yes,Sentry 1,0,,Port 162,Port 1162
DUCKTV,DUCKTV,DUCKTV,232.23.13.23,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 1,0,,Port 163,Port 1163
DUNYA,DUNYA,DUNYA,232.20.214.30,3101,172.31.1.24,172.31.2.24,Che MX1,Yes,Sentry 1,0,,Port 164,Port 1164
ECUAVI,ECUAVI,ECUAVI,232.168.50.47,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 165,Port 1165
EHD,E!,EHD,232.70.2.109,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 1,0,,Port 166,Port 1166
ELFINANCHD,NA,ELFINANCHD,232.168.50.78,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 1,0,,Port 167,Port 1167
ELMEH,NA,ELMEH,232.23.13.5,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 1,0,,Port 168,Port 1168
