MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
OLD_MAMUSIC,OLD_MAAMU,OLD_MAMUSIC,232.20.118.13,3101,172.31.1.21,172.31.2.21,DBS,No,Sentry 3,0,,Port 91,Port 1091
MAXHD,MAXHD,MAXHD,232.168.50.16,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 3,1,"1:AC3,eng 2:AC3,spa",Port 92,Port 1092
MBC1,MBC,MBC1,232.20.97.210,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 93,Port 1093
MBCDR,MBCDR,MBCDR,232.20.214.7,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 3,0,,Port 94,Port 1094
MBCKD,MBC3,MBCKD,232.20.214.1,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 3,0,,Port 95,Port 1095
MBCM,MBCM,MBCM,232.20.214.2,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 3,0,,Port 96,Port 1096
NBASLC,NA,NBASLC,232.23.36.89,3101,172.31.1.24,172.31.2.24,Gilbert MCR,Yes,Sentry 3,0,,Port 97,Port 1097
MCTEST,NA,MCTEST,232.16.232.21,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 98,Port 1098
MEATV,NA,MEATV,232.70.4.11,1234,172.31.27.23,172.31.28.23,VYVX,Yes,Sentry 3,0,,Port 99,Port 1099
MEGAC,MEGA,MEGAC,232.20.214.42,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 3,0,,Port 100,Port 1100
MEKLAT,MEKLAT,MEKLAT,232.168.50.116,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 3,0,,Port 101,Port 1101
MELDRA,NA,MELDRA,232.70.5.25,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 102,Port 1102
MESAT,NA,MESAT,232.23.13.11,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 3,0,,Port 103,Port 1103
MILENIO,NA,MILENIO,232.168.50.75,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,,Port 104,Port 1104
MIS,MIS,MIS,232.70.4.1,1234,172.31.27.23,172.31.28.23,LTN,Yes,Sentry 3,0,,Port 105,Port 1105
MLDYH,MLDYH,MLDYH,232.20.97.35,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 3,0,,Port 106,Port 1106
MMTVUS,NA,MMTVUS,232.168.50.73,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,,Port 107,Port 1107
MNBCHD,MSNBC,MNBCHD,232.70.2.112,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 3,0,,Port 108,Port 1108
MNRMA,MNRMA,MNRMA,232.20.96.134,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 109,Port 1109
OLD_MOK,OLD_MOVOK,OLD_MOK,232.20.98.164,3101,172.31.1.21,172.31.2.21,DBS,No,Sentry 3,0,,Port 110,Port 1110
BEIN4,BEIN4,BEIN4,232.70.15.4,1234,172.31.27.24,172.31.28.24,Eurovision SRT,Yes,Sentry 3,0,,Port 111,Port 1111
MTA3,NA,MTA3,232.168.50.76,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,,Port 112,Port 1112
MTV,MTV,MTV,232.168.50.98,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 3,0,,Port 113,Port 1113
MTV2HD,MTV2,MTV2HD,232.168.50.52,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,,Port 114,Port 1114
MTVIND,MTVH,MTVIND,232.20.214.18,3101,172.31.1.24,172.31.2.24,Che BT Tower,Yes,Sentry 3,0,,Port 115,Port 1115
SHO2,SHOTO,SHO2,232.168.50.131,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,,Port 116,Port 1116
MURRTV,MURTV,MURRTV,232.20.214.54,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 3,0,,Port 117,Port 1117
MYGTV,MGTV,MYGTV,232.20.94.168,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 118,Port 1118
MZYKA,MZYKA,MZYKA,232.20.96.172,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 119,Port 1119
N18I,NA,N18I,232.70.6.140,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 3,0,,Port 120,Port 1120
N18KLA,NA,N18KLA,232.70.6.138,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 3,0,,Port 121,Port 1121
N18NE,NA,N18NE,232.70.6.139,1234,172.31.1.31,172.31.2.31,TATA,Yes,Sentry 3,0,,Port 122,Port 1122
N18TML,NA,N18TML,232.70.6.137,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 3,0,,Port 123,Port 1123
NATCL,NATCL,NATCL,232.70.5.13,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 124,Port 1124
NATUREV,NA,NATUREV,232.70.5.18,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 125,Port 1125
NBAATL,NA,NBAATL,232.23.36.61,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 126,Port 1126
NBABOS,NA,NBABOS,232.23.36.62,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 127,Port 1127
NBABRK,NA,NBABRK,232.23.36.63,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 128,Port 1128
NBACHI,NA,NBACHI,232.23.36.65,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 129,Port 1129
NBACLE,NA,NBACLE,232.23.36.66,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 130,Port 1130
NBACLT,NA,NBACLT,232.23.36.64,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 131,Port 1131
NBADAL,NA,NBADAL,232.23.36.67,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 132,Port 1132
NBADEN,NA,NBADEN,232.23.36.68,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 133,Port 1133
NBADET,NA,NBADET,232.23.36.69,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 134,Port 1134
NBAHOU,NA,NBAHOU,232.23.36.71,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 135,Port 1135
NBAIND,NA,NBAIND,232.23.36.72,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 136,Port 1136
NBALAC,NA,NBALAC,232.23.36.73,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 137,Port 1137
NBALAL,NA,NBALAL,232.23.36.74,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 138,Port 1138
NBAMEM,NA,NBAMEM,232.23.36.75,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 139,Port 1139
NBAMIA,NA,NBAMIA,232.23.36.76,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 140,Port 1140
NBAMIL,NA,NBAMIL,232.23.36.77,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 141,Port 1141
NBAMIN,NA,NBAMIN,232.23.36.78,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 142,Port 1142
NBANOL,NA,NBANOL,232.23.36.79,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 143,Port 1143
NBANYC,NA,NBANYC,232.23.36.80,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 144,Port 1144
NBAOKC,NA,NBAOKC,232.23.36.91,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 145,Port 1145
NBAORL,NA,NBAORL,232.23.36.82,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 146,Port 1146
NBAPHIL,NA,NBAPHIL,232.23.36.83,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 147,Port 1147
NBAPHX,NA,NBAPHX,232.23.36.92,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 148,Port 1148
NBAPOR,NA,NBAPOR,232.23.36.85,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 149,Port 1149
NBASAC,NA,NBASAC,232.23.36.93,3101,172.31.1.24,172.31.2.24,Gilbert MCR,Yes,Sentry 3,0,,Port 150,Port 1150
NBASAT,NA,NBASAT,232.23.36.87,3101,172.31.1.24,172.31.2.24,Gilbert MCR,Yes,Sentry 3,0,,Port 151,Port 1151
NBASFO,NA,NBASFO,232.23.36.70,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 152,Port 1152
BEIN8,BEIN8,BEIN8,232.70.15.8,1234,172.31.27.24,172.31.28.24,Eurovision SRT,Yes,Sentry 3,0,,Port 153,Port 1153
PEOPL,PEOPL,PEOPL,232.70.1.11,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 3,0,,Port 154,Port 1154
RCNTEL,RCNTEL,RCNTEL,232.168.50.68,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 3,0,,Port 155,Port 1155
TMICRO,TMICRO,TMICRO,232.168.50.72,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,,Port 156,Port 1156
ZEEFAM,ZFAM,ZEEFAM,232.23.138.55,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 157,Port 1157
AKAAL,N/A,AKAAL,232.70.5.75,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 158,Port 1158
PPV5,NA,PPV5,232.23.36.60,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 3,0,,Port 159,Port 1159
OLD_NBASLC,NA,OLD_NBASLC,232.23.36.89,3101,172.31.1.24,172.31.2.24,Gilbert MCR,No,Sentry 4,0,,Port 0,Port 1000
HDNETMV,HDNETMV,HDNETMV,232.168.50.96,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 1,Port 1001
NBATVHD,NBATVHD,NBATVHD,232.168.50.121,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 2,Port 1002
NBAWAS,NA,NBAWAS,232.23.36.90,3101,172.31.1.24,172.31.2.24,Gilbert MCR,Yes,Sentry 4,0,,Port 3,Port 1003
NBCSNA1,NA,NBCSNA1,232.23.36.53,3101,172.31.1.24,172.31.2.24,Gilbert MCR,Yes,Sentry 4,0,,Port 4,Port 1004
SLING2,NA,SLING2,232.23.36.54,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 4,0,,Port 5,Port 1005
NBCSNHD,NBCSP,NBCSNHD,232.70.2.101,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 4,0,,Port 6,Port 1006
NBN,NBN,NBN,232.20.214.62,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 4,0,,Port 7,Port 1007
NDGT,NDTVG,NDGT,232.20.94.209,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 8,Port 1008
NDTV2,NDTV,NDTV2,232.20.94.210,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 9,Port 1009
NEW18,NEW18,NEW18,232.20.96.103,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 10,Port 1010
NEWSWLD,NA,NEWSWLD,232.70.5.56,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 11,Port 1011
NEWSY,NA,NEWSY,232.70.5.91,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 12,Port 1012
NEWTV,NEWTV,NEWTV,232.20.214.63,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 4,0,,Port 13,Port 1013
NFLHD,NFLHD,NFLHD,232.23.99.2,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 14,Port 1014
NFLHD200,NFLHD200,NFLHD200,232.23.39.210,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 15,Port 1015
NFLRZ,NFLRZ,NFLRZ,232.23.36.41,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 16,Port 1016
NGCHD,NA,NGCHD,232.70.10.4,1234,172.31.27.21,172.31.28.21,FOX,Yes,Sentry 4,0,,Port 17,Port 1017
NHLHD,NA,NHLHD,232.168.50.113,3101,172.31.1.31,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 18,Port 1018
NICJRHD,NKJR,NICJRHD,232.168.50.48,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 19,Port 1019
NIKTNHD,NICKT,NIKTNHD,232.168.50.49,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 20,Port 1020
NILE,NILE,NILE,232.20.97.208,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 21,Port 1021
NOURAL,NA,NOURAL,232.70.1.86,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 4,0,,Port 22,Port 1022
NOURAS,NOURAS,NOURAS,232.70.1.38,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 4,0,,Port 23,Port 1023
OLD_NOURK,OLD_NOURK,OLD_NOURK,232.70.1.69,3101,172.31.27.71,172.31.28.71,NOBUNDLE,No,Sentry 4,0,,Port 24,Port 1024
NOURMAR,NOURMAR,NOURMAR,232.70.1.31,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 4,0,,Port 25,Port 1025
NOURSAT,NORST,NOURSAT,232.20.214.5,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 4,0,,Port 26,Port 1026
NOURSH,NOURSH,NOURSH,232.70.1.32,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 4,0,,Port 27,Port 1027
NOWHAI,NOWHR,NOWHAI,232.20.96.39,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 28,Port 1028
NOWTV,NOWTV,NOWTV,232.20.6.207,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 29,Port 1029
NTV1,NTV,NTV1,232.20.98.137,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 30,Port 1030
NUESTRA,NTN24,NUESTRA,232.168.50.20,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 31,Port 1031
NUESTRT,NTEL,NUESTRT,232.20.96.241,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 32,Port 1032
NWSMX,NA,NWSMX,232.168.50.125,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 33,Port 1033
NWSWRLDI,NA,NWSWRLDI,232.70.5.57,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 34,Port 1034
OLYMPHD,OLYMP,OLYMPHD,232.70.2.171,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 4,0,,Port 35,Port 1035
ONTVUS,ONTV,ONTVUS,232.20.214.36,3101,172.31.1.24,172.31.2.24,Che TATA,Yes,Sentry 4,0,,Port 36,Port 1036
OTVLB,OTV,OTVLB,232.20.214.55,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 4,0,,Port 37,Port 1037
OTVODIA,NA,OTVODIA,232.70.5.54,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 38,Port 1038
OUTDOORHD,NA,OUTDOORHD,232.168.50.126,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 39,Port 1039
OLD_OUTHD,OLD_OTDCH,OLD_OUTHD,232.23.41.212,3101,172.31.1.22,172.31.2.22,NOBUNDLE,No,Sentry 4,0,,Port 40,Port 1040
OUTSD,OUTSD,OUTSD,232.168.50.33,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 41,Port 1041
OXYGENHD,OXYGENHD,OXYGENHD,232.70.2.106,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 4,0,,Port 42,Port 1042
P12AZHD,NA,P12AZHD,232.168.50.62,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 43,Port 1043
P12BAHD,NA,P12BAHD,232.168.50.64,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 44,Port 1044
P12LAHD,NA,P12LAHD,232.168.50.63,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 45,Port 1045
P12MTHD,NA,P12MTHD,232.168.50.67,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 46,Port 1046
P12ORHD,NA,P12ORHD,232.168.50.65,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 47,Port 1047
P12WAHD,NA,P12WAHD,232.168.50.66,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 48,Port 1048
P7S1W,NA,P7S1W,232.70.5.33,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 49,Port 1049
PSNES,PSNES,PSNES,232.23.34.111,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 50,Port 1050
PEACE,NA,PEACE,232.23.13.56,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 4,0,,Port 51,Port 1051
PFC,PFC,PFC,232.20.97.73,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 52,Port 1052
PHKC,NA,PHKC,232.20.94.148,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 4,0,,Port 53,Port 1053
PHNIN,PHNIN,PHNIN,232.20.97.196,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 54,Port 1054
PIXLHD,PIXL,PIXLHD,232.23.36.95,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 55,Port 1055
PLSTL,PLSTL,PLSTL,232.70.1.82,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 4,0,,Port 56,Port 1056
PNAX,PHNIX,PNAX,232.20.96.78,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 57,Port 1057
PNEWSHD,PLSTN,PNEWSHD,232.20.96.143,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 58,Port 1058
POLSAT1,PLST1,POLSAT1,232.20.97.66,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 59,Port 1059
PPV,NA,PPV,232.23.36.56,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 4,0,,Port 60,Port 1060
PPV2,NA,PPV2,232.23.36.57,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 4,0,,Port 61,Port 1061
PRAGNW,NA,PRAGNW,232.70.5.65,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 62,Port 1062
PRAJAA,NA,PRAJAA,232.70.5.51,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 63,Port 1063
PRATH,NA,PRATH,232.70.5.47,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 64,Port 1064
PRIME37,PRIME37,PRIME37,232.23.34.37,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 65,Port 1065
PRIMHD,PRIME,PRIMHD,232.23.36.60,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 4,0,,Port 66,Port 1066
PSCPA,NA,PSCPA,232.168.50.26,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 4,0,,Port 67,Port 1067
PTC,PTCTV,PTC,232.20.214.8,3101,172.31.1.24,172.31.2.24,Che BT Tower,Yes,Sentry 4,0,,Port 68,Port 1068
PTCCD,PTCCD,PTCCD,232.20.214.10,3101,172.31.1.24,172.31.2.24,Che BT Tower,Yes,Sentry 4,0,,Port 69,Port 1069
PTCNWS,PTCN,PTCNWS,232.20.214.9,3101,172.31.1.24,172.31.2.24,Che BT Tower,Yes,Sentry 4,0,,Port 70,Port 1070
PTVGLB,PTV,PTVGLB,232.20.214.6,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 4,0,,Port 71,Port 1071
PUBLCMU,NA,PUBLCMU,232.70.5.52,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 72,Port 1072
PUBLCTV,NA,PUBLCTV,232.70.5.50,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 73,Port 1073
PUNJA,APUNJ,PUNJA,232.20.97.214,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 74,Port 1074
QTVPAK,QTV,QTVPAK,232.20.214.23,3101,172.31.1.24,172.31.2.24,Che BT Tower,Yes,Sentry 4,0,,Port 75,Port 1075
OLD_RAII,OLD_RAI,OLD_RAII,232.20.5.166,3101,172.31.1.24,172.31.2.24,NOBUNDLE,No,Sentry 4,0,,Port 76,Port 1076
OLD_RAINW24,OLD_RAINW,OLD_RAINW24,232.20.97.65,3101,172.31.1.22,172.31.2.22,DBS,No,Sentry 4,0,,Port 77,Port 1077
OLD_RAIPREM,OLD_RAIPR,OLD_RAIPREM,232.20.97.129,3101,172.31.1.22,172.31.2.22,DBS,No,Sentry 4,0,,Port 78,Port 1078
RAJDP,RAJDP,RAJDP,232.23.13.20,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 4,0,,Port 79,Port 1079
RAJM,RAJM,RAJM,232.23.13.22,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 4,0,,Port 80,Port 1080
RAJN,RAJN,RAJN,232.23.13.21,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 4,0,,Port 81,Port 1081
RAJTV,RAJTV,RAJTV,232.23.13.19,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 4,0,,Port 82,Port 1082
OLD_RCNTELO,OLD_RCTV,OLD_RCNTELO,232.168.50.68,3101,172.31.1.32,172.31.2.32,Gilbert IRD,No,Sentry 4,0,,Port 83,Port 1083
RECI,RCORD,RECI,232.168.50.22,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 84,Port 1084
REELZ,NA,REELZ,232.23.130.48,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 85,Port 1085
REVOLT,NA,REVOLT,232.168.50.129,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 86,Port 1086
RFDHD,RFDTV,RFDHD,232.23.36.96,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 87,Port 1087
RGTI,GLOBO,RGTI,232.20.6.74,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 88,Port 1088
RIDEHD,NA,RIDEHD,232.168.50.115,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 4,0,,Port 89,Port 1089
RISHCIN,RSHCX,RISHCIN,232.20.97.86,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 90,Port 1090
RITTVD,RITTV,RITTVD,232.20.94.147,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 4,0,,Port 91,Port 1091
RNGNI,NA,RNGNI,232.70.5.66,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 92,Port 1092
ROTAFL,NA,ROTAFL,232.23.13.30,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 4,0,,Port 93,Port 1093
ROTAN,ROTAN,ROTAN,232.23.13.156,3101,172.31.1.21,172.31.2.21,NEXTOLOGIES,Yes,Sentry 4,0,,Port 94,Port 1094
ROTCIN,NA,ROTCIN,232.23.13.33,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 4,0,,Port 95,Port 1095
ROTCLP,NA,ROTCLP,232.70.1.25,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 4,0,,Port 96,Port 1096
ROTCLS,NA,ROTCLS,232.23.13.36,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 4,0,,Port 97,Port 1097
ROTDRA,NA,ROTDRA,232.23.13.27,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 4,0,,Port 98,Port 1098
ROTKHL,NA,ROTKHL,232.23.13.34,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 4,0,,Port 99,Port 1099
ROTMUS,NA,ROTMUS,232.23.13.35,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 4,0,,Port 100,Port 1100
ROYTV,ROYTV,ROYTV,232.20.214.64,3101,172.31.1.24,172.31.2.24,Che NEXTOLOGIES,Yes,Sentry 4,0,,Port 101,Port 1101
RSHTY,RSHTY,RSHTY,232.20.214.11,3101,172.31.1.24,172.31.2.24,Che BT Tower,Yes,Sentry 4,0,,Port 102,Port 1102
RTTV,RT,RTTV,232.23.13.154,3101,172.31.1.21,172.31.2.21,Che NEXTOLOGIES,Yes,Sentry 4,0,,Port 103,Port 1103
RURALTV,FMLYN,RURALTV,232.23.37.222,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 4,0,,Port 104,Port 1104
SAB,SAB,SAB,232.20.214.44,3101,172.31.1.24,172.31.2.24,Che VYVX,Yes,Sentry 4,0,,Port 105,Port 1105
SADHNP,NA,SADHNP,232.70.5.68,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 106,Port 1106
SADHNW,NA,SADHNW,232.70.5.42,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 107,Port 1107
SADHTV,NA,SADHTV,232.70.5.45,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 108,Port 1108
SAHARA,SHARA,SAHARA,232.20.214.41,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 4,0,,Port 109,Port 1109
SAKSHI,NA,SAKSHI,232.70.5.77,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 110,Port 1110
SAT7A,NA,SAT7A,232.23.13.12,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 4,0,,Port 111,Port 1111
SATSA,NA,SATSA,232.70.5.76,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 4,0,,Port 112,Port 1112
